日時,通貨ペア,売買,ロット,エントリー価格,決済価格,損切り価格,利確価格,損益,エントリー理由,メモ,元の損切り
2026-03-01 09:15,USD/JPY,BUY,0.5,149.500,149.800,149.200,150.000,3000,トレンドフォロー,順張り成功,149.200
2026-03-01 11:30,USD/JPY,BUY,0.5,149.850,149.600,149.500,150.200,-2500,押し目買い,損切りに到達,149.500
2026-03-01 13:00,USD/JPY,BUY,1.5,149.550,149.300,149.000,150.000,-7500,,連敗後にロット増加,149.200
2026-03-01 14:30,USD/JPY,BUY,2.0,149.250,148.800,148.500,150.000,-18000,,ナンピンして大損失,148.500
2026-03-02 09:00,EUR/USD,SELL,0.3,1.08500,1.08200,1.08800,1.07800,4500,レンジ上限からの売り,きれいに利確,1.08800
2026-03-02 10:30,EUR/USD,SELL,0.3,1.08250,1.08180,1.08400,1.07800,1050,下降トレンド継続,利確が早すぎた,1.08400
2026-03-02 14:00,GBP/JPY,BUY,0.8,189.200,188.500,188.800,190.000,-5600,ブレイクアウト,損切りに到達,189.000
2026-03-02 15:30,GBP/JPY,BUY,0.8,188.600,188.100,187.800,189.500,-4000,,リベンジトレード,187.800
2026-03-02 16:00,GBP/JPY,BUY,1.2,188.050,187.500,187.200,189.000,-6600,,さらにリベンジ,187.200
2026-03-03 09:30,USD/JPY,SELL,0.5,148.900,149.200,149.300,148.200,-3000,レンジ上限,方向感なし逆行,149.300
2026-03-03 10:00,USD/JPY,SELL,0.5,149.150,149.400,149.600,148.500,-2500,,連敗後即エントリー,149.600
2026-03-03 10:15,USD/JPY,SELL,1.0,149.350,149.700,150.000,148.800,-7000,,ナンピン,149.500
2026-03-03 14:00,EUR/USD,BUY,0.3,1.08100,1.08400,1.07900,1.08800,4500,サポートからの反発,ルール通り,1.07900
2026-03-03 16:00,EUR/USD,BUY,0.3,1.08350,1.08500,1.08200,1.09000,2250,トレンドフォロー,利確が早い,1.08200
2026-03-04 09:00,USD/JPY,BUY,0.5,149.000,149.350,148.700,149.800,3500,朝の押し目買い,計画通り,148.700
2026-03-04 11:00,USD/JPY,BUY,0.5,149.400,149.200,149.100,149.800,-2000,トレンド継続,微損,149.100
2026-03-04 13:00,USD/JPY,BUY,0.5,149.150,149.000,148.800,149.600,-1500,押し目,連敗中,148.800
2026-03-04 14:00,USD/JPY,BUY,0.5,148.950,148.700,148.400,149.500,-2500,反発期待,3連敗,148.400
2026-03-04 14:10,USD/JPY,BUY,1.5,148.650,148.300,147.900,149.200,-10500,,クールダウン違反で大損,148.100
2026-03-05 09:30,GBP/JPY,SELL,0.5,188.000,187.500,188.500,187.000,5000,下降トレンド,ルール通り,188.500
2026-03-05 11:00,GBP/JPY,SELL,0.5,187.550,187.800,188.000,187.000,-2500,継続エントリー,逆行,188.000
2026-03-05 14:00,EUR/USD,BUY,0.3,1.08600,1.08850,1.08400,1.09200,3750,,理由なし,1.08400
2026-03-05 15:30,EUR/USD,BUY,0.3,1.08800,1.08950,1.08600,1.09300,2250,上昇トレンド,利確早い,1.08600
2026-03-05 16:00,EUR/USD,BUY,0.3,1.08920,1.09000,1.08700,1.09400,1200,トレンド追随,微益,1.08700
2026-03-05 16:30,EUR/USD,BUY,0.3,1.08980,1.08850,1.08700,1.09500,-1950,,4連続同方向,1.08700
